# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
3910.7000 M121 601626 11 340.7000 n38 n0 54 N n38->n26->n233->n26->n7->n42->n1->n253->n244->n242->n247->n0
4010.0000 M101 846482 17 1007.0000 n151 n0 43 N n151->n4->n3->n238->n263->n257->n250->n254->n250->n241->n263->n262->n257->n241->n263->n266->n252->n0
4010.2000 M95 895577 15 1187.2000 n35 n0 40 N n35->n206->n46->n8->n42->n1->n245->n254->n245->n243->n242->n249->n263->n266->n252->n0
4086.4000 M123 614169 8 459.4000 n23 n0 52 N n23->n8->n42->n1->n264->n243->n247->n244->n0
4137.5000 M130 536904 8 295.5000 n32 n0 55 N n32->n8->n47->n1->n264->n258->n243->n249->n0
4155.3000 M126 512443 14 431.3000 n93 n0 52 N n93->n10->n97->n2->n248->n260->n240->n253->n246->n242->n251->n264->n258->n243->n0
4204.5000 M139 807091 7 92.5000 n40 n0 58 N n40->n6->n37->n1->n251->n264->n258->n0
4227.0000 M133 591759 8 293.0000 n185 n0 55 N n185->n170->n4->n245->n250->n239->n249->n243->n0
4251.3000 M127 506002 12 497.3000 n150 n0 51 N n150->n4->n261->n262->n261->n256->n247->n266->n246->n265->n264->n258->n0
4251.4000 M137 631418 10 196.4000 n128 n0 56 N n128->n16->n121->n3->n245->n257->n250->n255->n264->n258->n0
4285.9000 M113 982169 14 933.9000 n153 n0 44 N n153->n155->n17->n119->n3->n4->n245->n257->n250->n239->n252->n238->n249->n251->n0
4288.4000 M134 856159 10 320.4000 n131 n0 54 N n131->n16->n111->n3->n4->n245->n257->n250->n239->n264->n0
4288.7000 M122 975987 15 687.7000 n162 n0 48 N n162->n176->n4->n261->n245->n250->n257->n245->n257->n250->n239->n252->n238->n249->n251->n0
4288.8000 M88 507417 16 1669.8000 n141 n0 32 N n141->n16->n175->n4->n261->n245->n250->n257->n245->n257->n250->n239->n252->n238->n249->n251->n0
4289.0000 M131 742886 12 416.0000 n114 n0 53 N n114->n16->n111->n3->n245->n257->n250->n239->n252->n238->n249->n251->n0
4345.2000 M142 725726 7 140.2000 n22 n0 57 N n22->n7->n31->n1->n249->n243->n258->n0
4345.3000 M112 517153 14 1023.3000 n152 n0 42 N n152->n4->n261->n262->n261->n240->n261->n247->n244->n238->n241->n249->n243->n258->n0
4345.4000 M141 527788 7 171.4000 n26 n0 57 N n26->n6->n43->n1->n249->n243->n258->n0
4389.9000 M81 987978 6 1978.9000 n172 n0 27 N n172->n4->n245->n257->n250->n257->n0
4600.1000 M144 663690 17 345.1000 n139 n0 54 N n139->n16->n175->n4->n256->n252->n245->n252->n241->n259->n263->n252->n264->n251->n250->n257->n254->n0
4623.7000 M146 505487 15 309.7000 n128 n0 54 N n128->n17->n18->n124->n3->n256->n252->n245->n252->n1->n248->n239->n250->n257->n254->n0
4662.1000 M124 729639 18 1001.1000 n92 n0 43 N n92->n9->n78->n11->n2->n259->n244->n259->n267->n249->n248->n1->n248->n251->n250->n257->n254->n240->n0
4685.6000 M149 586647 11 283.6000 n124 n0 55 N n124->n18->n134->n3->n266->n247->n245->n261->n257->n254->n240->n0
4699.5000 M148 625450 14 331.5000 n149 n0 54 N n149->n173->n4->n256->n252->n245->n252->n1->n248->n239->n260->n254->n248->n240->n0
4736.1000 M158 552730 12 54.1000 n119 n0 59 N n119->n14->n136->n3->n249->n255->n239->n250->n253->n254->n247->n248->n0
4809.1000 M156 788589 10 195.1000 n25 n0 56 N n25->n23->n7->n49->n1->n243->n262->n240->n247->n248->n0
4809.2000 M154 795784 9 261.2000 n58 n0 55 N n58->n7->n49->n1->n243->n262->n240->n247->n248->n0
4809.3000 M159 665139 10 100.3000 n58 n0 58 N n58->n7->n8->n30->n1->n243->n262->n240->n247->n248->n0
4853.9000 M163 526214 6 30.9000 n53 n0 59 N n53->n26->n1->n262->n266->n245->n0
4873.0000 M164 672765 9 23.0000 n180 n0 59 N n180->n4->n261->n250->n254->n1->n240->n262->n238->n0
5035.0000 M166 827967 12 118.0000 n114 n0 58 N n114->n3->n4->n239->n241->n265->n242->n1->n260->n238->n245->n259->n0
5049.9000 M105 647816 14 1928.9000 n81 n0 27 N n81->n66->n2->n252->n256->n267->n254->n249->n244->n240->n265->n260->n245->n259->n0
5050.1000 M157 760115 13 402.1000 n75 n0 53 N n75->n2->n252->n256->n267->n254->n249->n244->n240->n265->n260->n245->n259->n0
5050.8000 M132 765115 16 1146.8000 n86 n0 40 N n86->n79->n2->n258->n256->n267->n254->n249->n244->n240->n250->n265->n247->n238->n245->n259->n0
5105.7000 M171 782141 7 36.7000 n44 n0 59 N n44->n6->n43->n1->n245->n259->n266->n0
5108.7000 M172 962878 10 12.7000 n169 n0 59 N n169->n4->n253->n243->n246->n241->n263->n245->n259->n266->n0
5335.9000 M147 807429 15 993.9000 n86 n0 43 N n86->n79->n2->n254->n255->n251->n240->n252->n243->n261->n246->n250->n241->n253->n244->n0
5336.0000 M168 854957 15 353.0000 n107 n0 54 N n107->n10->n83->n2->n255->n254->n249->n252->n264->n256->n261->n260->n1->n259->n244->n0
5336.1000 M169 798916 13 323.1000 n69 n0 54 N n69->n10->n83->n2->n251->n258->n252->n264->n261->n239->n260->n259->n244->n0
5336.2000 M173 629743 8 207.2000 n178 n0 56 N n178->n4->n3->n247->n239->n259->n266->n244->n0
5336.3000 M162 739285 13 540.3000 n73 n0 50 N n73->n2->n252->n258->n252->n256->n267->n249->n267->n243->n239->n260->n244->n0
5336.4000 M145 631105 13 1053.4000 n97 n0 42 N n97->n2->n255->n254->n251->n258->n252->n264->n261->n239->n260->n259->n244->n0
5336.5000 M85 950749 14 2806.5000 n74 n0 13 N n74->n10->n61->n2->n258->n251->n255->n267->n256->n267->n243->n239->n260->n244->n0
5351.8000 M179 815625 16 42.8000 n107 n0 59 N n107->n2->n254->n249->n240->n255->n251->n248->n252->n246->n267->n257->n250->n242->n241->n244->n0
5353.0000 M107 990865 16 2178.0000 n81 n0 23 N n81->n66->n2->n254->n240->n255->n251->n248->n252->n246->n267->n257->n250->n242->n241->n244->n0
5413.4000 M182 936202 7 18.4000 n30 n0 59 N n30->n1->n266->n256->n242->n241->n253->n0
