# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4325.4000 M99 899694 16 1384.4000 n178 n0 36 N n178->n143->n4->n239->n243->n239->n243->n264->n239->n261->n254->n245->n257->n250->n257->n239->n0
4517.5000 M84 577575 11 2019.5000 n150 n0 26 N n150->n164->n144->n4->n256->n254->n240->n254->n240->n251->n257->n0
4522.6000 M137 631418 12 467.6000 n128 n0 52 N n128->n130->n143->n4->n240->n254->n245->n254->n240->n254->n240->n254->n0
4643.4000 M140 592720 9 500.4000 n28 n0 51 N n28->n26->n43->n8->n7->n57->n1->n248->n254->n0
4643.5000 M142 725726 6 438.5000 n22 n0 52 N n22->n7->n57->n1->n248->n254->n0
4643.7000 M141 527788 8 469.7000 n26 n0 52 N n26->n43->n8->n7->n57->n1->n248->n254->n0
4643.8000 M139 807091 10 531.8000 n40 n0 51 N n40->n29->n24->n43->n8->n7->n57->n1->n248->n254->n0
4702.3000 M104 863634 12 1608.3000 n178 n0 33 N n178->n143->n4->n266->n3->n255->n259->n265->n266->n245->n247->n248->n0
4805.7000 M154 795784 9 257.7000 n58 n0 55 N n58->n42->n46->n6->n57->n1->n238->n260->n248->n0
4826.2000 M148 625450 13 458.2000 n149 n0 52 N n149->n157->n146->n163->n144->n164->n144->n4->n266->n259->n266->n240->n247->n0
4866.6000 M146 505487 12 552.6000 n128 n0 50 N n128->n130->n134->n3->n265->n249->n255->n254->n262->n240->n266->n245->n0
4890.1000 M160 681657 10 154.1000 n145 n0 57 N n145->n144->n4->n255->n249->n255->n254->n262->n259->n247->n0
5047.6000 M144 663690 18 792.6000 n139 n0 46 N n139->n124->n139->n110->n3->n241->n263->n241->n263->n250->n261->n250->n246->n1->n260->n238->n245->n259->n0
5047.7000 M164 672765 15 197.7000 n180 n0 56 N n180->n151->n145->n144->n163->n144->n4->n261->n250->n246->n1->n260->n238->n245->n259->n0
5047.9000 M149 586647 21 645.9000 n124 n0 49 N n124->n139->n124->n139->n110->n3->n241->n265->n263->n241->n263->n241->n263->n265->n249->n246->n1->n260->n238->n245->n259->n0
5048.0000 M136 783655 17 1020.0000 n139 n0 42 N n139->n18->n139->n110->n167->n110->n3->n241->n263->n265->n249->n246->n1->n260->n238->n245->n259->n0
5052.1000 M159 665139 12 343.1000 n58 n0 54 N n58->n42->n46->n6->n57->n7->n57->n1->n260->n238->n245->n259->n0
5076.8000 M155 762207 14 496.8000 n101 n0 51 N n101->n2->n252->n258->n256->n267->n254->n249->n244->n240->n250->n247->n245->n259->n0
5107.4000 M166 827967 14 190.4000 n114 n0 56 N n114->n113->n15->n139->n110->n3->n253->n4->n246->n241->n263->n245->n259->n266->n0
5177.7000 M172 962878 10 81.7000 n169 n0 58 N n169->n142->n169->n4->n246->n241->n250->n244->n259->n266->n0
5177.8000 M171 782141 8 108.8000 n44 n0 58 N n44->n7->n57->n1->n260->n244->n259->n266->n0
5335.9000 M157 760115 12 687.9000 n75 n0 48 N n75->n64->n10->n2->n252->n258->n256->n261->n260->n1->n259->n244->n0
5363.7000 M173 629743 9 234.7000 n178 n0 56 N n178->n143->n4->n261->n263->n247->n242->n241->n244->n0
7210.3000 M220 742665 8 712.3000 n51 n0 48 N n51->n30->n6->n34->n1->n238->n251->n266->n0
7210.5000 M215 712854 7 858.5000 n36 n0 45 N n36->n6->n34->n1->n238->n251->n266->n0
7210.7000 M234 940646 5 298.7000 n58 n0 55 N n58->n1->n238->n251->n266->n0
7210.8000 M176 745444 12 1993.8000 n60 n0 26 N n60->n27->n25->n31->n22->n23->n6->n34->n1->n238->n251->n266->n0
7211.0000 M163 526214 11 2388.0000 n53 n0 20 N n53->n26->n31->n22->n23->n6->n34->n1->n238->n251->n266->n0
7211.2000 M233 755810 5 327.2000 n40 n0 54 N n40->n1->n238->n251->n266->n0
7211.3000 M196 649359 8 1402.3000 n51 n0 36 N n51->n30->n6->n34->n1->n238->n251->n266->n0
7211.4000 M239 695679 8 148.4000 n24 n0 57 N n24->n33->n6->n34->n1->n238->n251->n266->n0
7211.6000 M188 976547 10 1638.6000 n25 n0 32 N n25->n31->n22->n23->n6->n34->n1->n238->n251->n266->n0
7211.8000 M183 927190 10 1782.8000 n38 n0 30 N n38->n43->n8->n41->n6->n34->n1->n238->n251->n266->n0
7212.0000 M201 637543 10 1267.0000 n32 n0 38 N n32->n35->n24->n33->n6->n34->n1->n238->n251->n266->n0
7212.1000 M223 917135 10 627.1000 n46 n0 49 N n46->n7->n29->n33->n6->n34->n1->n238->n251->n266->n0
7212.2000 M187 717614 11 1669.2000 n53 n0 32 N n53->n26->n31->n22->n23->n6->n34->n1->n238->n251->n266->n0
7212.3000 M222 581369 7 656.3000 n36 n0 49 N n36->n6->n34->n1->n238->n251->n266->n0
7212.5000 M182 936202 7 1817.5000 n30 n0 29 N n30->n6->n34->n1->n238->n251->n266->n0
7212.6000 M156 788589 10 2598.6000 n25 n0 16 N n25->n31->n22->n23->n6->n34->n1->n238->n251->n266->n0
7212.8000 M241 672652 8 92.8000 n29 n0 58 N n29->n33->n6->n34->n1->n238->n251->n266->n0
7213.0000 M185 772495 11 1720.0000 n28 n0 31 N n28->n26->n31->n22->n23->n6->n34->n1->n238->n251->n266->n0
7216.9000 M240 653769 5 128.9000 n52 n0 57 N n52->n1->n238->n253->n266->n0
7374.6000 M170 502107 12 2331.6000 n206 n0 21 N n206->n233->n22->n47->n6->n39->n1->n259->n256->n258->n250->n266->n0
7374.8000 M228 664849 12 640.8000 n206 n0 49 N n206->n233->n22->n47->n6->n39->n1->n259->n256->n258->n250->n266->n0
7414.4000 M206 962621 10 1323.4000 n78 n0 37 N n78->n2->n255->n262->n259->n256->n258->n250->n266->n251->n0
7414.5000 M169 798916 11 2401.5000 n69 n0 19 N n69->n107->n2->n255->n262->n259->n256->n258->n250->n266->n251->n0
7414.7000 M225 529412 13 768.7000 n90 n0 47 N n90->n61->n10->n101->n2->n255->n262->n259->n256->n258->n250->n266->n251->n0
7414.8000 M229 645592 13 655.8000 n99 n0 49 N n99->n73->n10->n101->n2->n255->n262->n259->n256->n258->n250->n266->n251->n0
7414.9000 M226 819313 13 743.9000 n105 n0 47 N n105->n62->n10->n101->n2->n255->n262->n259->n256->n258->n250->n266->n251->n0
7415.0000 M162 739285 14 2619.0000 n73 n0 16 N n73->n62->n11->n69->n107->n2->n255->n262->n259->n256->n258->n250->n266->n251->n0
7415.2000 M147 807429 13 3073.2000 n86 n0 8 N n86->n98->n9->n69->n2->n255->n262->n259->n256->n258->n250->n266->n251->n0
7415.3000 M177 736674 11 2168.3000 n69 n0 23 N n69->n107->n2->n255->n262->n259->n256->n258->n250->n266->n251->n0
7415.4000 M161 796114 16 2645.4000 n70 n0 15 N n70->n97->n9->n13->n11->n69->n107->n2->n255->n262->n259->n256->n258->n250->n266->n251->n0
7415.6000 M207 976697 12 1292.6000 n73 n0 38 N n73->n10->n101->n2->n255->n262->n259->n256->n258->n250->n266->n251->n0
