# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4731.0000 M148 625450 8 363.0000 n149 n0 53 N n149->n173->n4->n245->n265->n259->n245->n248->n0
4731.1000 M137 631418 10 676.1000 n128 n0 48 N n128->n3->n4->n255->n243->n238->n243->n259->n245->n248->n0
4731.3000 M100 746890 18 1757.3000 n84 n0 30 N n84->n11->n2->n264->n251->n240->n248->n240->n265->n240->n261->n4->n245->n247->n266->n259->n245->n248->n0
4731.4000 M150 719739 9 299.4000 n133 n0 55 N n133->n129->n3->n266->n247->n266->n259->n245->n248->n0
4848.1000 M159 665139 5 139.1000 n58 n0 57 N n58->n1->n262->n259->n247->n0
4848.2000 M132 765115 18 944.2000 n86 n0 44 N n86->n79->n2->n253->n262->n253->n262->n253->n262->n253->n250->n251->n253->n251->n1->n262->n259->n247->n0
4848.4000 M140 592720 6 705.4000 n28 n0 48 N n28->n6->n1->n262->n259->n247->n0
4848.5000 M156 788589 7 234.5000 n25 n0 56 N n25->n23->n8->n1->n262->n259->n247->n0
4848.7000 M139 807091 6 736.7000 n40 n0 47 N n40->n6->n1->n262->n259->n247->n0
4871.2000 M154 795784 5 323.2000 n58 n0 54 N n58->n1->n262->n259->n245->n0
5336.0000 M172 962878 9 240.0000 n169 n0 55 N n169->n4->n242->n241->n262->n253->n241->n253->n244->n0
5336.1000 M160 681657 8 600.1000 n145 n0 49 N n145->n4->n242->n241->n242->n241->n253->n244->n0
5336.2000 M163 526214 15 513.2000 n53 n0 51 N n53->n26->n6->n1->n238->n245->n244->n263->n244->n259->n262->n253->n241->n253->n244->n0
5336.3000 M165 526052 9 452.3000 n133 n0 52 N n133->n129->n16->n3->n4->n242->n241->n253->n244->n0
5336.4000 M158 552730 7 654.4000 n119 n0 49 N n119->n3->n4->n242->n241->n253->n244->n0
5336.5000 M164 672765 7 486.5000 n180 n0 51 N n180->n4->n242->n253->n241->n253->n244->n0
5353.0000 M166 827967 11 436.0000 n114 n0 52 N n114->n3->n253->n257->n265->n264->n256->n259->n266->n253->n244->n0
5353.1000 M76 765606 13 3091.1000 n106 n0 8 N n106->n2->n264->n254->n249->n264->n252->n264->n256->n259->n266->n253->n244->n0
5428.5000 M93 719389 18 2660.5000 n96 n0 15 N n96->n61->n2->n264->n254->n264->n256->n240->n264->n256->n259->n266->n256->n266->n259->n256->n242->n241->n0
5558.7000 M126 512443 16 1834.7000 n93 n0 29 N n93->n2->n264->n252->n256->n264->n252->n264->n240->n258->n265->n255->n264->n251->n258->n247->n0
5558.9000 M142 725726 9 1353.9000 n22 n0 37 N n22->n8->n1->n266->n258->n238->n253->n244->n247->n0
5698.9000 M182 936202 10 303.9000 n30 n0 54 N n30->n8->n1->n251->n241->n253->n255->n257->n256->n238->n0
5747.4000 M185 772495 4 254.4000 n28 n0 55 N n28->n1->n251->n239->n0
5747.7000 M188 976547 6 174.7000 n25 n0 57 N n25->n24->n6->n1->n251->n239->n0
5748.0000 M183 927190 6 319.0000 n38 n0 54 N n38->n26->n6->n1->n251->n239->n0
5748.2000 M176 745444 5 531.2000 n60 n0 51 N n60->n6->n1->n251->n239->n0
5748.4000 M170 502107 6 705.4000 n206 n0 48 N n206->n46->n8->n1->n251->n239->n0
5748.6000 M187 717614 6 205.6000 n53 n0 56 N n53->n26->n6->n1->n251->n239->n0
5748.8000 M171 782141 5 679.8000 n44 n0 48 N n44->n6->n1->n251->n239->n0
5933.4000 M173 629743 10 804.4000 n178 n0 46 N n178->n4->n254->n261->n241->n261->n247->n242->n261->n267->n0
5933.7000 M115 804649 35 2525.7000 n93 n0 17 N n93->n2->n264->n254->n249->n252->n264->n240->n255->n249->n243->n249->n243->n254->n265->n260->n249->n254->n264->n249->n255->n251->n266->n261->n249->n262->n266->n3->n4->n245->n252->n239->n258->n261->n267->n0
5934.0000 M184 840578 6 472.0000 n150 n0 52 N n150->n4->n254->n252->n261->n267->n0
5934.2000 M87 870121 30 3345.2000 n73 n0 4 N n73->n2->n264->n252->n256->n264->n252->n264->n240->n255->n249->n243->n249->n243->n254->n265->n260->n249->n254->n264->n267->n251->n259->n252->n3->n4->n245->n252->n261->n267->n0
5934.4000 M186 569757 5 416.4000 n132 n0 53 N n132->n3->n252->n261->n267->n0
5934.6000 M191 797020 8 267.6000 n111 n0 55 N n111->n16->n3->n4->n245->n252->n261->n267->n0
5934.7000 M190 636985 11 300.7000 n137 n0 54 N n137->n16->n3->n266->n254->n245->n252->n239->n258->n261->n267->n0
6038.2000 M194 537123 9 282.2000 n153 n0 55 N n153->n155->n3->n4->n240->n266->n251->n245->n267->n0
6066.1000 M98 871931 16 3157.1000 n96 n0 7 N n96->n61->n2->n243->n265->n259->n262->n253->n265->n248->n265->n263->n248->n265->n266->n252->n0
6072.3000 M181 535256 16 709.3000 n65 n0 48 N n65->n66->n2->n243->n265->n259->n262->n253->n265->n248->n265->n248->n238->n263->n248->n252->n0
6072.6000 M147 807429 15 1730.6000 n86 n0 31 N n86->n79->n9->n2->n243->n265->n259->n262->n253->n265->n248->n265->n263->n248->n252->n0
6121.5000 M161 796114 18 1351.5000 n70 n0 37 N n70->n64->n2->n248->n240->n259->n240->n262->n259->n262->n253->n244->n248->n265->n254->n1->n246->n265->n0
6121.8000 M107 990865 15 2946.8000 n81 n0 10 N n81->n66->n2->n243->n265->n259->n262->n253->n244->n248->n265->n254->n1->n246->n265->n0
6121.9000 M196 649359 5 312.9000 n51 n0 54 N n51->n22->n1->n246->n265->n0
